58,0.828,0.017,0.0,0.086,0.069,0.0,0.103,0.556,0.326;0,0,1
38,0.711,0.0,0.0,0.132,0.158,0.0,0.132,0.612,0.216;0,0,1
55,0.818,0.036,0.0,0.036,0.109,0.0,0.073,0.818,0.073;0,1,0
47,0.766,0.021,0.043,0.149,0.021,0.0,0.213,0.602,0.373;0,0,1
24,0.833,0.0,0.0,0.125,0.042,0.0,0.125,0.645,0.301;0,0,1
31,0.742,0.0,0.065,0.0,0.097,0.097,0.065,0.513,0.183;0,0,1
50,0.8,0.02,0.0,0.08,0.1,0.0,0.1,0.41,0.362;0,0,1
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0;0,1,0
42,0.429,0.238,0.0,0.119,0.214,0.0,0.357,0.106,0.579;0,0,1
31,0.226,0.581,0.032,0.161,0.0,0.0,0.774,0.226,0.774;0,0,1
33,0.273,0.03,0.242,0.061,0.121,0.273,0.333,0.09,0.435;0,0,1
22,0.682,0.0,0.045,0.273,0.0,0.0,0.318,0.334,0.666;1,0,0
61,0.328,0.066,0.213,0.328,0.066,0.0,0.607,0.056,0.856;1,0,0
31,0.806,0.0,0.097,0.097,0.0,0.0,0.194,0.473,0.527;1,0,0
51,0.471,0.059,0.118,0.078,0.275,0.0,0.255,0.155,0.438;0,0,1
43,0.767,0.047,0.023,0.14,0.023,0.0,0.209,0.7,0.276;0,0,1
34,0.735,0.029,0.088,0.088,0.059,0.0,0.206,0.69,0.25;0,0,1
27,0.815,0.037,0.0,0.074,0.074,0.0,0.111,0.505,0.358;0,0,1
31,0.742,0.032,0.0,0.065,0.161,0.0,0.097,0.529,0.241;0,0,1
55,0.273,0.0,0.055,0.655,0.0,0.018,0.709,0.084,0.894;1,0,0
28,0.643,0.0,0.036,0.25,0.071,0.0,0.286,0.182,0.677;0,0,1
54,0.185,0.019,0.037,0.704,0.037,0.019,0.759,0.043,0.894;1,0,0
28,0.036,0.929,0.0,0.0,0.0,0.036,0.929,0.036,0.929;1,0,0
26,0.692,0.0,0.0,0.231,0.077,0.0,0.231,0.252,0.594;0,0,1
68,0.779,0.015,0.0,0.074,0.103,0.029,0.088,0.55,0.247;0,0,1
33,0.515,0.0,0.212,0.212,0.061,0.0,0.424,0.186,0.725;1,0,0
25,0.12,0.64,0.0,0.2,0.04,0.0,0.84,0.061,0.898;1,0,0
38,0.5,0.026,0.053,0.342,0.053,0.026,0.421,0.162,0.721;1,0,0
67,0.94,0.0,0.0,0.015,0.045,0.0,0.015,0.927,0.028;0,1,0
44,0.5,0.159,0.068,0.227,0.045,0.0,0.455,0.25,0.693;1,0,0
32,0.812,0.0,0.0,0.094,0.094,0.0,0.094,0.716,0.18;0,1,0
30,0.533,0.067,0.2,0.167,0.033,0.0,0.433,0.215,0.738;0,0,1
34,0.265,0.324,0.0,0.382,0.029,0.0,0.706,0.04,0.922;1,0,0
23,0.739,0.0,0.0,0.087,0.087,0.087,0.087,0.696,0.125;0,0,1
27,0.778,0.0,0.037,0.185,0.0,0.0,0.222,0.714,0.286;0,0,1
42,0.024,0.0,0.119,0.381,0.0,0.476,0.5,0.0070,0.51;0,0,1
20,0.7,0.0,0.1,0.2,0.0,0.0,0.3,0.476,0.524;1,0,0
